StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
1,7.5,1,1,1,65,4.4,No,No,61,79,1
2,8.9,0,3,2,90,4,Yes,Yes,78,82,0
3,7.3,1,2,2,82,4.8,Yes,No,79,80,1
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,0
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,0
6,7,0,2,2,71,4.2,Yes,No,55,66,1
7,7.7,1,1,1,76,4,No,No,62,65,1
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,1
9,6.5,1,1,0,84,3.9,No,Yes,75,71,1
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,0
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,0
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,0
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,0
14,7.7,1,1,1,74,4.6,No,Yes,63,73,1
15,7.5,1,1,1,66,4.1,No,No,61,66,1
16,7.4,0,2,1,78,4.4,No,No,63,66,1
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,0
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,0
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,0
20,7.4,1,2,0,70,4.4,No,Yes,58,63,1
21,7.6,2,1,0,84,4.4,No,Yes,77,75,0
22,7.4,1,2,1,72,3.5,No,Yes,82,69,0
23,7.7,0,1,0,77,3.4,No,Yes,55,72,0
24,7.4,1,1,0,60,3.8,No,No,55,71,1
25,7.4,1,2,1,90,4.3,No,Yes,56,69,1
26,6.7,1,1,1,70,4,No,No,68,57,1
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,1
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,1
29,7.5,1,2,1,84,4.4,No,No,66,73,1
30,7,0,1,1,63,3.9,No,Yes,60,61,1
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,0
32,7.4,1,2,1,76,4.7,No,Yes,66,69,1
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,0
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,0
35,6.9,0,1,0,70,3.9,No,Yes,79,68,0
36,7.8,1,1,1,67,4.3,No,No,65,73,1
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,0
38,8.2,1,2,2,77,4.2,No,Yes,72,72,0
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,0
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,0
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,0
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,0
43,6.7,0,1,1,72,4.4,No,No,55,60,1
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,0
45,7.4,1,3,0,86,4.8,No,Yes,70,73,1
46,6.7,1,1,2,73,4.5,No,No,55,66,0
47,6.9,1,1,1,76,4.4,No,No,55,65,1
48,7,1,1,0,62,4.3,No,Yes,59,67,1
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,0
50,7.7,1,2,0,74,3.8,Yes,No,55,66,1
51,6.5,0,2,1,77,4.8,No,Yes,56,65,1
52,8.2,1,3,0,65,4.1,Yes,No,66,65,1
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,0
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,1
55,6.5,0,2,1,72,4.5,No,No,57,69,1
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,0
57,8,1,1,0,74,4.5,Yes,Yes,55,65,1
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,0
59,8,1,1,0,86,4.2,No,No,55,83,1
60,6.6,0,1,0,76,3.9,No,Yes,78,69,0
61,7.7,2,2,0,86,4,Yes,Yes,79,64,1
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,0
63,7.2,1,2,0,74,4.1,No,No,70,65,1
64,6.6,1,2,1,72,4.1,No,No,55,75,1
65,7.6,1,2,0,77,4.6,Yes,No,84,67,1
66,8,0,3,0,68,4.2,Yes,No,64,83,0
67,7.8,2,3,2,87,4.8,Yes,No,90,83,1
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,1
69,7.7,1,1,0,74,4.1,No,Yes,57,68,0
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,1
71,7.5,1,1,1,69,4.3,No,Yes,71,76,1
72,6.7,0,2,1,79,4.1,No,No,78,67,1
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,0
74,7.5,1,2,0,73,4.4,No,No,66,84,1
75,7.4,2,1,0,75,4.2,No,Yes,65,84,1
76,6.5,1,1,0,63,4.5,No,Yes,57,68,1
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,0
78,6.9,1,1,0,83,3.5,No,Yes,61,71,1
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,0
80,7.6,1,2,1,72,3.9,No,Yes,58,66,1
81,6.6,1,1,1,69,3.6,No,Yes,55,72,1
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,0
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,1
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,0
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,0
86,6.7,1,3,0,87,4.6,Yes,No,81,69,1
87,8.1,0,2,1,84,3.8,No,No,71,68,1
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,0
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,0
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,1
